title,price,date added,type,bedrooms,bathrooms,area,location,complete location,description,keywords,url
600 Yard Bungalow For Sale In DHA Phase 6,11.5 Crore,14 hours ago,House,5,6,600 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 6, DHA Defence, Karachi, Sindh",Chance Deal 600 Yard Bungalow For Sale,"Built in year: 1,Parking Spaces: 5,Flooring,Other Main Features,Bedrooms: 5,Bathrooms: 6,Servant Quarters: 1,Drawing Room,Dining Room,Kitchens: 2,Study Room,Prayer Room,Powder Room ,Store Rooms: 1,Lounge or Sitting Room",https://www.zameen.com/Property/d_h_a_dha_phase_6_600_yard_bungalow_for_sale_in_dha_phase_6-43187753-1483-1.html
"3 BEDS LUXURY 125 SQ YARDS VILLA FOR SALE LOCATED IN Precinct 12 ALI BLOCK, Bahria Town Karachi",1.45 Crore,5 hours ago,House,0,0,,"Bahria Town Karachi, Karachi, Sindh","Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh","3 BEDS LUXURY 125 SQ YARDS VILLA FOR SALE LOCATED IN Precinct 12 ALI BLOCK, Bahria Town Karachi","Bedrooms: 3,Bathrooms: 3,Kitchens: 2",https://www.zameen.com/Property/bahria_town_precinct_12_bahria_town_ali_block_3_beds_luxury_125_sq_yards_villa_for_sale_located_in_precinct_12_ali_block__bahria_town_karachi-43194528-10023-1.html
4 BEDS LUXURY SPORTS CITY VILLA FOR RENT BAHRIA TOWN KARACHI,2.12 Crore,5 hours ago,House,0,0,,"Bahria Town Karachi, Karachi, Sindh","Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",4 BEDS LUXURY SPORTS CITY VILLA FOR RENT BAHRIA TOWN KARACHI,"Bedrooms: 4,Bathrooms: 4,Kitchens: 2",https://www.zameen.com/Property/bahria_town_karachi_bahria_sports_city_4_beds_luxury_sports_city_villa_for_rent_bahria_town_karachi-43194532-10061-1.html
"3 BEDS LUXURY 235 SQ YARDS VILLA FOR SALE LOCATED IN Precinct 31, Bahria Town Karachi",1.5 Crore,5 hours ago,House,0,0,,"Bahria Town Karachi, Karachi, Sindh","Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh","3 BEDS LUXURY 235 SQ YARDS VILLA FOR SALE LOCATED IN Precinct 31, Bahria Town Karachi","Bedrooms: 3,Bathrooms: 3,Kitchens: 2",https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_31_3_beds_luxury_235_sq_yards_villa_for_sale_located_in_precinct_31__bahria_town_karachi-43194530-10045-1.html
Buying A Flat In Clifton - Block 9?,4 Crore,6 hours ago,Flat,3,3,200 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 9, Clifton, Karachi, Sindh",Apartment for sale,"Flooring,Electricity Backup,Broadband Internet Access,Satellite or Cable TV Ready,Business Center or Media Room in Building,Pet Policy",https://www.zameen.com/Property/clifton_clifton_block_9_buying_a_flat_in_clifton_block_9_-42887085-1671-1.html
500 Yards Bungalow Available For Sale In Phase 7 Chance Deal Three Unit,9 Crore,6 hours ago,House,7,6,500 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 7, DHA Defence, Karachi, Sindh",500 Square Yards Bungalow Available For Sale In Phase 7 Dha 7 Bedrooms 3 Unit Bungalow,"Flooring,Electricity Backup,Bedrooms: 7,Bathrooms: 7,Servant Quarters: 1,Kitchens: 3,Store Rooms: 1,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",https://www.zameen.com/Property/d_h_a_dha_phase_7_500_yards_bungalow_available_for_sale_in_phase_7_chance_deal_three_unit-41145833-1484-1.html
"3 BEDS LUXURY 152SQ YARDS VILLA FOR SALE LOCATED IN Precinct 11-B, Bahria Town Karachi",1.45 Crore,5 hours ago,House,0,0,,"Bahria Town Karachi, Karachi, Sindh","Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh","3 BEDS LUXURY 152SQ YARDS VILLA FOR SALE LOCATED IN Precinct 11-B, Bahria Town Karachi","Bedrooms: 3,Bathrooms: 3,Kitchens: 2",https://www.zameen.com/Property/bahria_town_precinct_11_bahria_town_precinct_11_b_3_beds_luxury_152sq_yards_villa_for_sale_located_in_precinct_11_b__bahria_town_karachi-43194529-10021-1.html
"3 BEDS LUXURY 235 SQ YARDS VILLA FOR SALE LOCATED IN Precinct 27, Bahria Town Karachi",1.55 Crore,5 hours ago,House,0,0,,"Bahria Town Karachi, Karachi, Sindh","Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh","3 BEDS LUXURY 235 SQ YARDS VILLA FOR SALE LOCATED IN Precinct 27, Bahria Town Karachi","Bedrooms: 3,Bathrooms: 3,Kitchens: 2",https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_27_3_beds_luxury_235_sq_yards_villa_for_sale_located_in_precinct_27__bahria_town_karachi-43194617-10040-1.html
Brand New State Of The Art Building 3 Bed Apartment For Sale,6 Crore,10 hours ago,Flat,3,4,200 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton - Block 8, Clifton, Karachi, Sindh",Clifton Block 8 Near 3 Talwar,"Built in year: 2022,Parking Spaces: 1,Flooring,Electricity Backup,Floor: 13,Floors in Building: 13,Elevators: 2,Bedrooms: 3,Bathrooms: 3,Kitchens: 1,Store Rooms: 1,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places",https://www.zameen.com/Property/clifton_clifton_block_8_brand_new_state_of_the_art_building_3_bed_apartment_for_sale-41808512-1670-1.html
Flat For Sale 3 Bed Dd 2200 Sq Ft Platinum Residency,3.7 Crore,5 hours ago,Flat,3,3,244 Sq. Yd.,"Clifton, Karachi, Sindh","Clifton, Karachi, Sindh",flat for sale Clifton Platinium residency 3 bed dd 2200 sq ft with lift car parking 3rd-floor prime location west open,"Flooring,Floor: 3,Elevators: 1,Bedrooms: 3,Bathrooms: 3,Kitchens: 1",https://www.zameen.com/Property/karachi_clifton_flat_for_sale_3_bed_dd_2200_sq_ft_platinum_residency-41935620-5-1.html
Chance Deal 2 Unit House Available For Sale Dha Phase 4,6.6 Crore,9 hours ago,House,0,0,,"DHA Defence, Karachi, Sindh","DHA Phase 4, DHA Defence, Karachi, Sindh",Chance Deal ,"Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Bedrooms: 06,Bathrooms: 07,Servant Quarters,Drawing Room,Dining Room,Study Room,Prayer Room,Powder Room ,Gym,Steam Room,Lounge or Sitting Room,Laundry Room,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Other Community Facilities,Lawn or Garden,Swimming Pool,Sauna,Jacuzzi,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Facilities for Disabled",https://www.zameen.com/Property/d_h_a_dha_phase_4_chance_deal_2_unit_house_available_for_sale_dha_phase_4-42563594-1481-1.html
1000 Yards Bungalow Available For Sale In Phase 8 Like Brand New,20 Crore,6 hours ago,House,6,6,"1,000 Sq. Yd.","DHA Defence, Karachi, Sindh","DHA Phase 8, DHA Defence, Karachi, Sindh",*Brand New 1000 square yards House for Sale*,"Parking Spaces: 4,Flooring,Bedrooms: 6,Bathrooms: 6,Servant Quarters: 1,Kitchens: 2,Store Rooms: 1,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",https://www.zameen.com/Property/d_h_a_dha_phase_8_1000_yards_bungalow_available_for_sale_in_phase_8_like_brand_new-41261045-1485-1.html
Brand New 4 Bed Apartment,3.6 Crore,5 hours ago,Flat,4,6,267 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 1, DHA Defence, Karachi, Sindh",Brand new out class 4 bed apartment 4 side corner proper west open 2 car parking prime location Italian tiles American kitchen with All Assocceries  separate servant  quarter ready for possession,"Flooring,Electricity Backup,Floor: 1,Floors in Building: 10,Elevators: 1,Bathrooms: 6,Kitchens: 1,Store Rooms: 1",https://www.zameen.com/Property/dha_defence_dha_phase_1_brand_new_4_bed_apartment-39443483-1478-1.html
950 Square Feet Flat For sale Is Available In Bahria Apartments,82 Lakh,3 hours ago,Flat,0,0,,"Bahria Town Karachi, Karachi, Sindh","Bahria Apartments, Bahria Town Karachi, Karachi, Sindh","Are you in search of a Flat in Bahria Apartments in Karachi that's priced reasonably? If yes, you have landing on the right page. It's best to buy this property in order to get lucrative return on your investment. This appealing 950 Square Feet property has been carefully curated for your needs. This property is available for Rs. 8,200,000. You will be hard pressed to find a better deal. Here is a must see property if you're looking for a proper deal in Bahria Apartments. May it be residential or commercial, property in Karachi will prove to be profitable. ","Flooring,Electricity Backup,Drawing Room,Dining Room,Study Room,Prayer Room,Powder Room ,Gym,Steam Room,Lounge or Sitting Room,Laundry Room,Broadband Internet Access,Satellite or Cable TV Ready,Business Center or Media Room in Building,Conference Room in Building,Intercom,ATM Machines,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Sauna,Jacuzzi,Maintenance Staff,Security Staff,Laundry or Dry Cleaning Facility,Communal/Shared Kitchen,Facilities for Disabled,Pet Policy",https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_950_square_feet_flat_for_sale_is_available_in_bahria_apartments-42846452-9030-1.html
BRANDNEW BUNGLOW FOR SALE IN DHA PHASE 8,17 Crore,6 hours ago,House,6,6,500 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 8, DHA Defence, Karachi, Sindh",DHA PHASE 8,"Built in year: 2022,Parking Spaces,Flooring,Electricity Backup,Waste Disposal,Floors,Other Main Features,Bedrooms: 6,Bathrooms: 7,Servant Quarters: 2,Drawing Room,Dining Room,Kitchens: 2,Study Room,Powder Room ,Store Rooms: 1,Lounge or Sitting Room,Other Rooms,Broadband Internet Access,Satellite or Cable TV Ready,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",https://www.zameen.com/Property/d_h_a_dha_phase_8_brandnew_bunglow_for_sale_in_dha_phase_8-42589245-1485-1.html
Fully Renovated 2 Bedrooms Flat Available For Sale,1.15 Crore,8 hours ago,Flat,2,2,111 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 6, DHA Defence, Karachi, Sindh",Bukhari Commercial ,"Other Main Features,Bedrooms: 2,Bathrooms: 2,Kitchens: 1,Store Rooms: 1,Other Rooms,Other Business and Communication Facilities,Other Healthcare and Recreation Facilities,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",https://www.zameen.com/Property/d_h_a_dha_phase_6_fully_renovated_2_bedrooms_flat_available_for_sale-35875810-1483-1.html
Dha Phase 4 Single Storey House G 1,7.25 Crore,6 hours ago,House,3,4,545 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 4, DHA Defence, Karachi, Sindh",DHA PHASE 4,"Built in year: 2013,Parking Spaces: 2,Flooring,Electricity Backup,Floors: 1,Bedrooms: 3,Bathrooms: 4,Servant Quarters: 1,Drawing Room,Dining Room,Kitchens: 1,Study Room,Prayer Room,Store Rooms: 1,Steam Room,Lounge or Sitting Room,Laundry Room,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden,Sauna,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Maintenance Staff,Security Staff,Facilities for Disabled",https://www.zameen.com/Property/d_h_a_dha_phase_4_dha_phase_4_single_storey_house_g_1-41441117-1481-1.html
500 Square Yards Bungalow Available For Sale In Dha phase 7 Karachi,10.5 Crore,8 hours ago,House,6,6,500 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 7, DHA Defence, Karachi, Sindh",500 Square Yards,"Parking Spaces: 3,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Bedrooms: 5,Bathrooms: 6,Servant Quarters: 1,Drawing Room,Dining Room,Kitchens: 1,Study Room,Prayer Room,Powder Room ,Store Rooms: 1,Steam Room,Lounge or Sitting Room,Laundry Room,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden,Sauna,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Facilities for Disabled",https://www.zameen.com/Property/d_h_a_dha_phase_7_500_square_yards_bungalow_available_for_sale_in_dha_phase_7_karachi-41816048-1484-1.html
SEAVIEW APARTMENT REASONABLE PRICE,3.6 Crore,7 hours ago,Flat,3,3,256 Sq. Yd.,"DHA Defence, Karachi, Sindh","DHA Phase 5, DHA Defence, Karachi, Sindh",Seaview Apartment 1st floor FF3 EXCELLENT location maintained Block maintained Apartment very attractive price,"Built in year,Parking Spaces,Flooring,Floor,Floors in Building: 1,Elevators,Other Main Features,Bedrooms,Bathrooms,Servant Quarters: 1,Kitchens: 1,Store Rooms: 1,Other Rooms,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",https://www.zameen.com/Property/d_h_a_dha_phase_5_seaview_apartment_reasonable_price-43194274-1482-1.html
"Luxury Villa In Very Reasonable Rate, Take Benefit Of Slow Market Now!!",1.95 Crore,3 hours ago,House,4,5,350 Sq. Yd.,"Bahria Town Karachi, Karachi, Sindh","Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",About Villa,"Built in year: 2020,Parking Spaces: 2,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Floors: 2,Furnished,Bedrooms: 4,Bathrooms: 5,Servant Quarters: 1,Dining Room,Kitchens: 1,Study Room,Prayer Room,Powder Room ,Gym,Steam Room,Lounge or Sitting Room,Laundry Room,Other Rooms,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden",https://www.zameen.com/Property/bahria_town_karachi_bahria_sports_city_luxury_villa_in_very_reasonable_rate__take_benefit_of_slow_market_now__-42966663-10061-1.html
2 two bed appartment availible for sale in tower 11 with key west open very near to park in bahria town karachi offers by ATHAR ASSOCIATES,95 Lakh,1 day ago,Flat,2,2,111 Sq. Yd.,"Bahria Town Karachi, Karachi, Sindh","Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",2 two bed appartment availible for sale in tower 11 with key west open very near to park in bahria town karachi offers by ATHAR ASSOCIATES  ,"Built in year: 2014,Parking Spaces: 1,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Floor,Floors in Building: 6,Elevators,Service Elevators in Building,Other Main Features,Furnished",https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_2_two_bed_appartment_availible_for_sale_in_tower_11_with_key_west_open_very_near_to_park_in_bahria_town_karachi_offers_by_athar_associates-42671445-9030-1.html
